,comment,Validated_Labels,Predicted_labels
0,i think there needs to be an expansion. one quarter of counseling is not enough to develop a relationship with a therapist. ,dissatisfied,dissatisfied
1,not too sure. don't have a ton of exposure to on campus counseling ,neutral,neutral
2,i have looked at group counseling but they are still remote. i am tired of remote and don't want it simple because it's remote. if it were in person i would definitely go to group therapy.,dissatisfied,dissatisfied
3,"not much in my opinion i’d working well. i think the diversity needs to increase for the counselors available, there really needs to be an increase in counselors too since scheduling is so limited and it could take weeks to get an appointment.",dissatisfied,dissatisfied
4,"the group sessions for stress relief and meditation has worked great for me.
i believe more individual telehealth options would be great",satisfied,mixed
5,"i am a fully online student and i wish i was able to use more telehealth services
",dissatisfied,dissatisfied
6,"access to counselors is simple (from my experience), but more counselors are needed for general outreach before students are in crisis.",mixed,mixed
7,the counseling center is just burdened with the amount of students that need help. it's simply the volume of students that need help. the services aren't even that bad if they were just able to reach more people. ,dissatisfied,dissatisfied
8,"i believe that for many, the addition of having 6 1 hour therapy sessions is helpful for short term help",satisfied,satisfied
9,"many students base assumptions on all staff based off of how we interact with the more common employees. everyone who works at the front desk is very polite and helpful. but me and many of my (typically female-identifying) peers have felt unsafe, judged, and nervous around and with the nurses in bishop wellness center. they tell you rudely all of the things you could have done to avoid this problem rather than assisting us with the problem now. ",dissatisfied,dissatisfied
10,i have used the resources at the wellness center for my mental health even before the pandemic and i think it needs help especially sense what happened last semester ,dissatisfied,dissatisfied
11,the therapy sessions offered are not enough. they are always full and i am unable to ever book a session when i need it most. ,dissatisfied,dissatisfied
12,i’m not sure of any sort of mental health services my school offers,neutral,dissatisfied
13,more checking in on students’ mental health and easy access to resources,dissatisfied,dissatisfied
14,our therapists need to be more responsible and make more of an effort to reach out to their patients ,dissatisfied,dissatisfied
15,"i would not describe any of it as working well. tedium and bureaucracy abound. six complementary sessions with a provider per academic year isn't enough. general poor communication/knowledge of what's available. met with a case manager once who quit or retired (unclear which) before a second meeting so i had to do the bulk of the intake stuff again. that case manager referred me to services that a therapist providing services through caps didn't know about. all this said, it's not clear to me if these problems are unique to my college, because as best i can tell nobody working in mental health has a good picture of the field. ",dissatisfied,dissatisfied
16,they do a good job providing training with where to access and how to provide service.,satisfied,satisfied
17,"well: constantly reminding students of caps, focus on students with poor mental health, lots of opportunities to seek help
poor: limited focus on maintaining good mental health in students",mixed,satisfied
18,"what’s working wel is they’re heavily connected with external sources. however, i do think they need to hire more psychiatrists so that people can quickly go through real treatment and be prescribed medication. ",mixed,mixed
19,"last semester, there was a time where dogs were brought to the library to de-stress around finals. i thought it was nice, but there should be things open for the entire semester/year and be open for everyone, without anything possibly restricting them, such as a dog allergy ",mixed,dissatisfied
20,able to register for a counseling session and get an appt within 7-10 days,satisfied,satisfied
21,one on one counseling was working well. however this support was short term. i did it for a semester but there is not many options for support for me on campus after that semester.,mixed,dissatisfied
22,"i have not visited or experienced any of the facilities.
i think caps and the animals are great.",satisfied,mixed
23,i think there are some good options but they are not advertised well at all,mixed,neutral
24,"i haven't went to mental-health counseling because i take care of my mental health alone majority of the time, but i would say depression and anxiety are some major aspects of mental health that needs more attention that it already has.",neutral,satisfied
25,i feel like the college in general is lacking. they advertise they care but i don’t feel like it’s genuine.,dissatisfied,mixed
26,i think it’s a great start to have free sessions but there shouldn’t be a cap,dissatisfied,neutral
27,unfortunately i am not using any of the mental health/wellness services provided.,neutral,satisfied
28,"though i have never attended, i appreciate the let's talk drop-in sessions available through my school. what might need more attention is the availability of counseling sessions, as i remember when i tried to make an appointment back in 2020 there were none available.",mixed,dissatisfied
29,"osu’s counseling and consultation services is a complete mess. it is advertised as a therapy option, yet students in crisis aren’t able to get in for months, and the help is near useless",dissatisfied,dissatisfied
30,"caps is kinda diverse, but we could use more people because they're so slow",mixed,mixed
